uid,iid,user_idx,item_idx,user_id,product_id,rating,rating_count,time_of_day,season,device_type,gender,category,brand,price,original_price,discount_percentage,product_views,purchase_intent,interaction_type,timestamp,price_range,time_of_day_encoded,season_encoded,device_type_encoded,category_encoded,day_of_week,month,hour,is_weekend,explicit_rating
123,141,123,141,124,142,4.29,326,evening,winter,tablet,F,Blouse,Carhartt,1217674,1415900,14,1482,high,cart,2023-01-02 23:07:09,Premium,1,3,2,1,0,1,23,0,0.7633333333333333
44,455,44,455,45,456,2.71,35,night,winter,tablet,F,Blouse,Carhartt,1645456,1891329,13,1060,medium,view,2023-01-03 00:04:44,Premium,3,3,2,1,1,1,0,0,0.23666666666666666
84,120,84,120,85,121,4.32,390,night,winter,mobile,F,Shoes,Zara,2152697,2446247,12,227,high,purchase,2023-01-03 00:42:05,Luxury,3,3,1,13,1,1,0,0,0.7733333333333334
24,88,24,88,25,89,4.03,60,night,winter,desktop,F,Polo Shirt,Levi's,2096322,2329247,10,863,high,view,2023-01-03 01:12:08,Luxury,3,3,0,11,1,1,1,0,0.6766666666666667
154,31,154,31,155,32,2.78,194,night,winter,mobile,F,Cargo Pants,H&M,1617093,1880341,14,791,medium,view,2023-01-03 01:41:01,Premium,3,3,1,4,1,1,1,0,0.25999999999999995
189,250,189,250,190,251,4.53,251,night,winter,mobile,M,Cargo Pants,Lacoste,2189903,2703584,19,1863,high,purchase,2023-01-03 03:35:22,Luxury,3,3,1,4,1,1,3,0,0.8433333333333334
93,386,93,386,94,387,3.98,207,night,winter,tablet,F,Jeans,Pull&Bear,1058255,1339564,21,1999,medium,cart,2023-01-03 03:41:33,Premium,3,3,2,10,1,1,3,0,0.66
176,395,176,395,177,396,4.86,24,night,winter,mobile,M,Jacket,Gucci,976926,1285430,24,1366,high,purchase,2023-01-03 05:57:48,Mid,3,3,1,9,1,1,5,0,0.9533333333333335
129,337,129,337,130,338,3.0,275,morning,winter,mobile,M,Polo Shirt,Gap,1920722,2259673,15,76,medium,view,2023-01-03 06:58:18,Premium,2,3,1,11,1,1,6,0,0.3333333333333333
184,144,184,144,185,145,3.46,294,morning,winter,tablet,F,Dress,Forever 21,620492,766040,19,1671,medium,cart,2023-01-03 10:08:43,Mid,2,3,2,6,1,1,10,0,0.48666666666666664
188,346,188,346,189,347,4.01,250,morning,winter,mobile,M,Jacket,Puma,1618317,1881765,14,574,high,cart,2023-01-03 11:17:08,Premium,2,3,1,9,1,1,11,0,0.6699999999999999
57,10,57,10,58,11,3.83,344,afternoon,winter,desktop,M,Shirt,Mango,280360,333763,16,732,low,view,2023-01-03 12:31:29,Budget,0,3,0,12,1,1,12,0,0.61
194,238,194,238,195,239,4.34,161,afternoon,winter,tablet,F,T-shirt,The North Face,530307,688711,23,250,high,purchase,2023-01-03 14:53:50,Mid,0,3,2,19,1,1,14,0,0.7799999999999999
2,64,2,64,3,65,3.02,271,afternoon,winter,desktop,M,Shoes,Tommy Hilfiger,1550336,1845639,16,1979,medium,cart,2023-01-03 17:00:22,Premium,0,3,0,13,1,1,17,0,0.34
120,493,120,493,121,494,3.62,152,afternoon,winter,mobile,M,Dress,Ralph Lauren,1467744,1812030,19,1444,medium,view,2023-01-03 17:27:51,Premium,0,3,1,6,1,1,17,0,0.54
36,371,36,371,37,372,3.54,197,evening,winter,tablet,M,Cardigan,The North Face,1061739,1310789,19,451,medium,view,2023-01-03 18:17:49,Premium,1,3,2,3,1,1,18,0,0.5133333333333333
13,140,13,140,14,141,2.1,198,evening,winter,tablet,M,Cargo Pants,Gucci,2263084,2662452,15,1618,medium,view,2023-01-03 18:25:55,Luxury,1,3,2,4,1,1,18,0,0.03333333333333336
189,398,189,398,190,399,3.7,144,evening,winter,desktop,F,Shorts,Nike,344958,383287,10,432,low,view,2023-01-03 18:53:32,Budget,1,3,0,14,1,1,18,0,0.5666666666666668
198,200,198,200,199,201,4.78,268,evening,winter,tablet,M,Boots,The North Face,465596,523142,11,1141,high,purchase,2023-01-03 19:40:38,Budget,1,3,2,2,1,1,19,0,0.9266666666666667
47,465,47,465,48,466,4.79,172,evening,winter,mobile,F,Hoodie,Puma,473200,563334,16,600,high,purchase,2023-01-03 21:42:56,Budget,1,3,1,8,1,1,21,0,0.93
110,401,110,401,111,402,3.18,89,night,winter,mobile,M,Shoes,The North Face,2483452,2887736,14,1323,high,cart,2023-01-04 05:28:53,Luxury,3,3,1,13,2,1,5,0,0.39333333333333337
74,51,74,51,75,52,3.13,40,morning,winter,tablet,F,Cardigan,Gucci,1605518,1783909,10,386,high,cart,2023-01-04 10:47:48,Premium,2,3,2,3,2,1,10,0,0.37666666666666665
51,409,51,409,52,410,4.25,26,afternoon,winter,desktop,F,Bag,Forever 21,1811851,2058922,12,615,high,purchase,2023-01-04 12:12:20,Premium,0,3,0,0,2,1,12,0,0.75
164,69,164,69,165,70,3.38,284,afternoon,winter,desktop,F,Coat,Zara,650119,764847,15,1481,low,view,2023-01-04 12:12:40,Mid,0,3,0,5,2,1,12,0,0.45999999999999996
67,266,67,266,68,267,4.33,116,afternoon,winter,mobile,F,Coat,H&M,380547,453033,16,880,high,purchase,2023-01-04 14:53:54,Budget,0,3,1,5,2,1,14,0,0.7766666666666667
50,378,50,378,51,379,4.01,55,afternoon,winter,mobile,M,Coat,Forever 21,1457338,1821673,20,663,high,view,2023-01-04 15:46:50,Premium,0,3,1,5,2,1,15,0,0.6699999999999999
100,294,100,294,101,295,2.56,216,afternoon,winter,desktop,F,Cargo Pants,The North Face,493035,594019,17,1974,medium,view,2023-01-04 16:45:49,Budget,0,3,0,4,2,1,16,0,0.18666666666666668
71,399,71,399,72,400,4.82,326,evening,winter,tablet,M,Sunglasses,Bershka,1591287,1940594,18,1938,medium,cart,2023-01-04 19:13:48,Premium,1,3,2,17,2,1,19,0,0.9400000000000001
105,8,105,8,106,9,4.09,310,evening,winter,desktop,M,T-shirt,Bershka,883715,1027576,14,1027,medium,cart,2023-01-04 20:26:45,Mid,1,3,0,19,2,1,20,0,0.6966666666666667
192,314,192,314,193,315,4.56,80,evening,winter,tablet,F,Sweater,Zara,521875,593040,12,1323,high,purchase,2023-01-04 22:09:32,Mid,1,3,2,18,2,1,22,0,0.8533333333333332
31,15,31,15,32,16,4.09,391,evening,winter,desktop,M,Bag,Gucci,826233,1073031,23,1615,high,purchase,2023-01-04 22:53:25,Mid,1,3,0,0,2,1,22,0,0.6966666666666667
30,267,30,267,31,268,3.34,162,evening,winter,desktop,F,Cardigan,Gucci,531734,664668,20,66,low,view,2023-01-04 23:59:14,Mid,1,3,0,3,2,1,23,0,0.4466666666666666
72,120,72,120,73,121,2.13,114,night,winter,mobile,F,Hoodie,Pull&Bear,1087276,1376299,21,1817,medium,view,2023-01-05 00:20:43,Premium,3,3,1,8,3,1,0,0,0.0433333333333333
136,67,136,67,137,68,4.27,71,night,winter,desktop,M,T-shirt,Dickies,2219431,2882378,23,1937,high,cart,2023-01-05 02:30:42,Luxury,3,3,0,19,3,1,2,0,0.7566666666666665
77,63,77,63,78,64,4.63,263,night,winter,mobile,F,Shorts,Calvin Klein,1320712,1650890,20,1600,high,purchase,2023-01-05 05:09:51,Premium,3,3,1,14,3,1,5,0,0.8766666666666666
171,444,171,444,172,445,4.46,255,night,winter,tablet,M,Sweater,Zara,688078,800091,14,1763,high,purchase,2023-01-05 05:59:33,Mid,3,3,2,18,3,1,5,0,0.82
153,249,153,249,154,250,3.22,91,morning,winter,tablet,F,Blouse,Calvin Klein,759508,893539,15,1981,low,view,2023-01-05 06:33:27,Mid,2,3,2,1,3,1,6,0,0.40666666666666673
59,323,59,323,60,324,4.27,372,morning,winter,mobile,M,Hat,Pull&Bear,1310054,1578379,17,1031,high,view,2023-01-05 07:08:10,Premium,2,3,1,7,3,1,7,0,0.7566666666666665
72,189,72,189,73,190,4.63,213,morning,winter,desktop,F,Dress,Lacoste,1913490,2224989,14,1278,medium,cart,2023-01-05 07:14:55,Premium,2,3,0,6,3,1,7,0,0.8766666666666666
0,200,0,200,1,201,4.72,106,afternoon,winter,tablet,M,Boots,Puma,313565,373292,16,1205,high,purchase,2023-01-05 17:50:57,Budget,0,3,2,2,3,1,17,0,0.9066666666666666
83,109,83,109,84,110,4.49,86,evening,winter,tablet,F,Sweater,Levi's,326921,375772,13,327,medium,view,2023-01-05 18:09:16,Budget,1,3,2,18,3,1,18,0,0.8300000000000001
125,370,125,370,126,371,4.13,294,evening,winter,mobile,F,Jacket,H&M,1855924,2410292,23,780,high,view,2023-01-05 21:23:36,Premium,1,3,1,9,3,1,21,0,0.71
43,465,43,465,44,466,4.47,157,evening,winter,mobile,F,Coat,Dickies,1614522,2152696,25,1196,medium,cart,2023-01-05 22:04:20,Premium,1,3,1,5,3,1,22,0,0.8233333333333333
100,185,100,185,101,186,4.6,167,night,winter,desktop,F,Skirt,Tommy Hilfiger,1184235,1518251,22,1336,high,purchase,2023-01-06 00:14:36,Premium,3,3,0,15,4,1,0,0,0.8666666666666666
2,8,2,8,3,9,4.43,158,night,winter,mobile,M,Blouse,Ralph Lauren,838007,1102642,24,1021,high,purchase,2023-01-06 00:53:44,Mid,3,3,1,1,4,1,0,0,0.8099999999999999
132,131,132,131,133,132,3.88,148,night,winter,desktop,M,T-shirt,Uniqlo,1664185,2029495,18,1296,high,cart,2023-01-06 01:00:02,Premium,3,3,0,19,4,1,1,0,0.6266666666666666
157,469,157,469,158,470,4.56,193,night,winter,desktop,F,Shorts,Nike,1801224,2144315,16,1962,high,purchase,2023-01-06 01:43:04,Premium,3,3,0,14,4,1,1,0,0.8533333333333332
152,159,152,159,153,160,3.48,38,night,winter,desktop,F,Boots,The North Face,535735,645464,17,1936,high,cart,2023-01-06 02:55:58,Mid,3,3,0,2,4,1,2,0,0.49333333333333335
170,248,170,248,171,249,4.14,386,night,winter,mobile,M,Shirt,Dickies,973410,1297880,25,1522,high,purchase,2023-01-06 03:06:36,Mid,3,3,1,12,4,1,3,0,0.7133333333333333
170,200,170,200,171,201,3.83,388,night,winter,mobile,M,Sweater,Gap,1908452,2478510,23,1509,medium,cart,2023-01-06 03:37:07,Premium,3,3,1,18,4,1,3,0,0.61
136,10,136,10,137,11,4.96,304,night,winter,desktop,F,Cardigan,Puma,1810438,2011598,10,882,high,purchase,2023-01-06 04:39:05,Premium,3,3,0,3,4,1,4,0,0.9866666666666667
33,338,33,338,34,339,4.03,84,night,winter,mobile,F,Sweater,Gucci,848588,975389,13,612,high,cart,2023-01-06 05:12:16,Mid,3,3,1,18,4,1,5,0,0.6766666666666667
84,196,84,196,85,197,4.73,373,night,winter,mobile,F,Cardigan,Adidas,1078259,1268540,15,192,high,purchase,2023-01-06 05:58:11,Premium,3,3,1,3,4,1,5,0,0.9100000000000001
36,98,36,98,37,99,4.31,226,morning,winter,desktop,F,Blouse,Dickies,1859915,2066573,10,241,high,purchase,2023-01-06 11:24:52,Premium,2,3,0,1,4,1,11,0,0.7699999999999999
114,374,114,374,115,375,4.09,99,afternoon,winter,mobile,M,Boots,Zara,249148,332198,25,1856,high,purchase,2023-01-06 13:18:05,Budget,0,3,1,2,4,1,13,0,0.6966666666666667
75,76,75,76,76,77,4.42,59,afternoon,winter,tablet,M,Blouse,Nike,373397,484932,23,1866,high,purchase,2023-01-06 14:24:42,Budget,0,3,2,1,4,1,14,0,0.8066666666666666
157,111,157,111,158,112,4.94,325,afternoon,winter,tablet,F,Shirt,Dickies,1973295,2406458,18,1353,medium,cart,2023-01-06 14:41:44,Premium,0,3,2,12,4,1,14,0,0.9800000000000001
3,316,3,316,4,317,3.88,318,afternoon,winter,desktop,F,Jacket,Uniqlo,1519253,1746268,13,754,medium,cart,2023-01-06 15:07:36,Premium,0,3,0,9,4,1,15,0,0.6266666666666666
96,364,96,364,97,365,4.87,345,afternoon,winter,desktop,F,Cardigan,Pull&Bear,1249417,1505322,17,1620,high,purchase,2023-01-06 15:08:32,Premium,0,3,0,3,4,1,15,0,0.9566666666666667
153,331,153,331,154,332,3.15,33,afternoon,winter,tablet,F,Shirt,Calvin Klein,2452957,2991412,18,505,high,cart,2023-01-06 17:46:17,Luxury,0,3,2,12,4,1,17,0,0.3833333333333333
85,271,85,271,86,272,4.28,101,afternoon,winter,desktop,F,Skirt,H&M,623306,750972,17,1665,high,purchase,2023-01-06 17:54:25,Mid,0,3,0,15,4,1,17,0,0.7600000000000001
185,256,185,256,186,257,2.57,60,evening,winter,mobile,M,Shoes,Ralph Lauren,874572,1166097,25,933,medium,view,2023-01-06 22:44:53,Mid,1,3,1,13,4,1,22,0,0.18999999999999995
65,96,65,96,66,97,4.39,181,evening,winter,mobile,M,Hoodie,Nike,1573310,1872989,16,857,high,purchase,2023-01-06 22:47:50,Premium,1,3,1,8,4,1,22,0,0.7966666666666665
6,69,6,69,7,70,2.51,87,night,winter,desktop,F,Hat,Forever 21,1120639,1273454,12,1336,low,view,2023-01-07 01:02:09,Premium,3,3,0,7,5,1,1,1,0.16999999999999993
162,489,162,489,163,490,3.0,254,night,winter,desktop,M,Bag,Ralph Lauren,2030127,2506330,19,1474,low,view,2023-01-07 04:07:55,Luxury,3,3,0,0,5,1,4,1,0.3333333333333333
107,54,107,54,108,55,3.91,340,night,winter,mobile,F,Coat,Carhartt,2680645,2978495,10,1823,medium,cart,2023-01-07 05:32:50,Luxury,3,3,1,5,5,1,5,1,0.6366666666666667
86,179,86,179,87,180,3.91,291,night,winter,tablet,F,Dress,Gucci,2660143,2955715,10,460,medium,view,2023-01-07 05:55:09,Luxury,3,3,2,6,5,1,5,1,0.6366666666666667
158,147,158,147,159,148,4.84,259,morning,winter,tablet,M,Sweater,Zara,624412,790396,21,1490,high,purchase,2023-01-07 09:15:28,Mid,2,3,2,18,5,1,9,1,0.9466666666666667
73,233,73,233,74,234,4.47,120,morning,winter,tablet,F,Skirt,Adidas,1310148,1679677,22,1007,medium,view,2023-01-07 09:52:07,Premium,2,3,2,15,5,1,9,1,0.8233333333333333
175,119,175,119,176,120,4.27,299,afternoon,winter,mobile,F,Coat,H&M,1105110,1241697,11,171,high,purchase,2023-01-07 12:00:36,Premium,0,3,1,5,5,1,12,1,0.7566666666666665
167,141,167,141,168,142,4.78,66,afternoon,winter,mobile,F,T-shirt,Bershka,1968338,2430048,19,1323,high,purchase,2023-01-07 13:15:20,Premium,0,3,1,19,5,1,13,1,0.9266666666666667
121,427,121,427,122,428,4.38,87,afternoon,winter,mobile,F,Jeans,Gucci,1009392,1246163,19,396,high,cart,2023-01-07 14:16:19,Premium,0,3,1,10,5,1,14,1,0.7933333333333333
95,200,95,200,96,201,3.33,364,evening,winter,desktop,F,Jacket,Pull&Bear,299362,344095,13,1614,low,view,2023-01-07 18:41:19,Budget,1,3,0,9,5,1,18,1,0.44333333333333336
24,57,24,57,25,58,3.89,232,evening,winter,tablet,F,T-shirt,Puma,1356945,1541984,12,1203,low,view,2023-01-07 18:45:27,Premium,1,3,2,19,5,1,18,1,0.63
65,144,65,144,66,145,3.34,26,evening,winter,mobile,F,Cardigan,Dickies,1835171,2085422,12,804,medium,cart,2023-01-07 19:13:48,Premium,1,3,1,3,5,1,19,1,0.4466666666666666
99,27,99,27,100,28,3.54,56,night,winter,mobile,M,Dress,Mango,1829467,2078940,12,1752,high,cart,2023-01-08 01:42:05,Premium,3,3,1,6,6,1,1,1,0.5133333333333333
28,83,28,83,29,84,4.98,360,night,winter,desktop,F,Shirt,Pull&Bear,1177184,1322679,11,536,high,purchase,2023-01-08 01:55:22,Premium,3,3,0,12,6,1,1,1,0.9933333333333335
28,145,28,145,29,146,4.04,81,night,winter,tablet,F,Polo Shirt,Forever 21,2299272,2737229,16,602,high,purchase,2023-01-08 02:13:52,Luxury,3,3,2,11,6,1,2,1,0.68
48,53,48,53,49,54,4.63,258,night,winter,tablet,F,Jacket,Bershka,2220558,2741430,19,1906,high,cart,2023-01-08 02:30:05,Luxury,3,3,2,9,6,1,2,1,0.8766666666666666
83,367,83,367,84,368,3.3,391,night,winter,mobile,F,Sneakers,Dickies,2272064,2989559,24,301,low,view,2023-01-08 02:31:57,Luxury,3,3,1,16,6,1,2,1,0.4333333333333333
150,112,150,112,151,113,4.18,141,night,winter,mobile,M,Dress,Adidas,1483606,1685917,12,590,high,purchase,2023-01-08 02:45:40,Premium,3,3,1,6,6,1,2,1,0.7266666666666666
64,195,64,195,65,196,4.16,29,morning,winter,mobile,M,Hat,Mango,1771357,2036043,13,1166,high,purchase,2023-01-08 07:28:34,Premium,2,3,1,7,6,1,7,1,0.7200000000000001
133,381,133,381,134,382,4.57,77,morning,winter,tablet,M,T-shirt,Tommy Hilfiger,1036552,1264089,18,1360,high,purchase,2023-01-08 09:21:00,Premium,2,3,2,19,6,1,9,1,0.8566666666666668
65,276,65,276,66,277,3.1,218,afternoon,winter,mobile,M,Cargo Pants,Gucci,363271,437677,17,1232,medium,view,2023-01-08 12:25:06,Budget,0,3,1,4,6,1,12,1,0.3666666666666667
160,424,160,424,161,425,4.93,213,afternoon,winter,mobile,M,Shoes,Carhartt,2384929,2805799,15,1497,high,purchase,2023-01-08 16:43:53,Luxury,0,3,1,13,6,1,16,1,0.9766666666666666
19,247,19,247,20,248,2.6,271,afternoon,winter,desktop,M,Boots,Levi's,776888,983403,21,1900,low,view,2023-01-08 17:00:41,Mid,0,3,0,2,6,1,17,1,0.20000000000000004
143,180,143,180,144,181,3.54,232,afternoon,winter,tablet,F,Dress,Adidas,1224439,1611104,24,1359,medium,view,2023-01-08 17:57:03,Premium,0,3,2,6,6,1,17,1,0.5133333333333333
169,374,169,374,170,375,3.6,212,evening,winter,tablet,M,Coat,Mango,2493684,2801893,11,56,medium,cart,2023-01-08 18:21:07,Luxury,1,3,2,5,6,1,18,1,0.5333333333333333
25,399,25,399,26,400,4.21,263,evening,winter,tablet,M,Sneakers,Calvin Klein,1817318,2360154,23,297,high,cart,2023-01-08 20:20:37,Premium,1,3,2,16,6,1,20,1,0.7366666666666667
15,136,15,136,16,137,4.18,286,evening,winter,mobile,M,Bag,Tommy Hilfiger,257757,330458,22,1990,high,purchase,2023-01-08 21:37:50,Budget,1,3,1,0,6,1,21,1,0.7266666666666666
88,147,88,147,89,148,4.08,153,evening,winter,desktop,M,Polo Shirt,Mango,1801098,2070228,13,1301,medium,cart,2023-01-08 23:23:14,Premium,1,3,0,11,6,1,23,1,0.6933333333333334
118,84,118,84,119,85,4.34,259,night,winter,desktop,M,Boots,Levi's,2384110,2678776,11,935,high,purchase,2023-01-09 01:29:12,Luxury,3,3,0,2,0,1,1,0,0.7799999999999999
39,262,39,262,40,263,4.93,139,night,winter,tablet,F,T-shirt,Mango,837556,1021410,18,1370,medium,cart,2023-01-09 03:45:47,Mid,3,3,2,19,0,1,3,0,0.9766666666666666
15,118,15,118,16,119,4.06,259,night,winter,tablet,M,Bag,Mango,2368117,2753625,14,1316,medium,view,2023-01-09 03:46:41,Luxury,3,3,2,0,0,1,3,0,0.6866666666666665
121,380,121,380,122,381,3.46,168,night,winter,tablet,F,Sneakers,Tommy Hilfiger,1569968,1847022,15,599,medium,view,2023-01-09 05:16:40,Premium,3,3,2,16,0,1,5,0,0.48666666666666664
119,368,119,368,120,369,4.89,125,night,winter,mobile,M,Hoodie,Puma,1725253,2240589,23,893,high,purchase,2023-01-09 05:23:22,Premium,3,3,1,8,0,1,5,0,0.9633333333333333
155,41,155,41,156,42,3.86,239,night,winter,desktop,F,Shoes,Zara,1229175,1575866,22,232,high,cart,2023-01-09 05:27:41,Premium,3,3,0,13,0,1,5,0,0.62
143,347,143,347,144,348,3.53,210,night,winter,desktop,F,Jacket,Uniqlo,1469758,1837198,20,1770,medium,cart,2023-01-09 05:35:39,Premium,3,3,0,9,0,1,5,0,0.5099999999999999
154,226,154,226,155,227,4.44,299,morning,winter,tablet,M,Hoodie,Levi's,1268090,1408989,10,1892,high,purchase,2023-01-09 06:07:02,Premium,2,3,2,8,0,1,6,0,0.8133333333333335
37,446,37,446,38,447,3.47,34,morning,winter,desktop,F,Dress,Uniqlo,1180148,1341078,12,228,medium,cart,2023-01-09 07:31:23,Premium,2,3,0,6,0,1,7,0,0.49000000000000005
169,103,169,103,170,104,4.32,308,morning,winter,mobile,M,Bag,Tommy Hilfiger,1734057,2167572,20,411,medium,view,2023-01-09 08:12:43,Premium,2,3,1,0,0,1,8,0,0.7733333333333334
133,342,133,342,134,343,3.55,51,morning,winter,desktop,F,Sneakers,Dickies,1925043,2319330,17,1745,high,cart,2023-01-09 11:04:57,Premium,2,3,0,16,0,1,11,0,0.5166666666666666
28,496,28,496,29,497,4.89,269,afternoon,winter,mobile,F,Shoes,Tommy Hilfiger,1288117,1515432,15,610,medium,cart,2023-01-09 15:59:43,Premium,0,3,1,13,0,1,15,0,0.9633333333333333
74,188,74,188,75,189,3.47,196,afternoon,winter,tablet,M,Jeans,Calvin Klein,2159997,2426964,11,420,medium,cart,2023-01-09 16:37:42,Luxury,0,3,2,10,0,1,16,0,0.49000000000000005
100,308,100,308,101,309,3.12,296,afternoon,winter,tablet,F,Hat,Forever 21,510441,630175,19,1438,low,view,2023-01-09 16:49:30,Mid,0,3,2,7,0,1,16,0,0.37333333333333335
131,36,131,36,132,37,4.63,249,afternoon,winter,desktop,M,Sunglasses,Gucci,2152682,2724915,21,1246,high,purchase,2023-01-09 17:27:27,Luxury,0,3,0,17,0,1,17,0,0.8766666666666666
68,428,68,428,69,429,2.61,50,evening,winter,mobile,M,Bag,Forever 21,420833,483717,13,1669,low,view,2023-01-09 19:34:37,Budget,1,3,1,0,0,1,19,0,0.20333333333333328
188,268,188,268,189,269,4.38,298,evening,winter,mobile,F,Dress,Gap,1693947,2117434,20,63,high,purchase,2023-01-09 21:13:28,Premium,1,3,1,6,0,1,21,0,0.7933333333333333
133,419,133,419,134,420,4.33,113,night,winter,mobile,F,Jeans,Gap,1734766,2065198,16,462,high,view,2023-01-10 00:37:31,Premium,3,3,1,10,1,1,0,0,0.7766666666666667
